Company,Type,Amount,Permission AD Date,Permission BS Date,
Jyoti Bikas Bank Ltd.,Bonus,55.43,,2072/05/17,
Nepal Life Insurance Ltd.,Bonus,650.25,,2072/05/27,
Nirdhan Utthan Bank Ltd.,Bonus,95.99,,2072/05/27,
Ace Development Bank Ltd.,Bonus,57.92,,2072/06/18,
Araniko Development Bank Ltd.,Bonus,11.16,,2072/06/27,
Siddharth Insurance Ltd.,Bonus,25.08,,2072/07/12,
Country Development Bank Ltd.,Bonus,12.8,,2072/07/23,
Jhimruk Bikas Bank Ltd.,Bonus,8.5,,2072/08/15,
Hamro Bikas Bank Ltd.,Bonus,4.21,,2072/08/15,
Tinau Bikas Bank Ltd.,Bonus,33.33,,2072/08/17,
International Development Bank Ltd.,Bonus,64,,2072/08/15,
Premier Insurance Co. Nepal Ltd.,Bonus,35.31,,2072/08/21,
Western Development Bank Ltd.,Bonus,21.8,,2072/08/22,
Purnima Bikas Bank Ltd.,Bonus,26.13,,2072/08/29,
Kakrebihar Bikas Bank Ltd.,Bonus,3.45,,2072/09/03,
Sagarmatha Insurance Co.Ltd.,Bonus,46.51,,2072/09/03,
First Microfinance Development Bank Ltd,Bonus,30,,2072/10/04,
Citizens Bank International Ltd.,Bonus,510.87,,2072/10/05,
Kaski Finance Ltd,Bonus,48.95,,2072/10/14,
Sindhu Bikas Bank Ltd,Bonus,13.44,,2072/10/14,
Neco Insurance Ltd,Bonus,31.78,,2072/10/15,
Narayani National Finance Ltd,Bonus,122.37,,2072/10/22,
Cosmos Development Bank Ltd,Bonus,6.56,,2072/10/25,
Nepal Investment Bank Ltd,Bonus,1577.37,,2072/10/25,
Nabil Bank Ltd.,Bonus,1098.92,,2072/10/25,
Nirdhan Utthan Bank Ltd.,Bonus,163.94,,2072/10/25,
Kailash Bikas Bank Ltd,Bonus,214.88,,2072/10/25,
Chhimek Laghubitta Bikas Bank Ltd,Bonus,170.21,,2072/11/04,
Unique Finance Ltd,Bonus,15.61,,2072/11/04,
Business Universal Development Bank Ltd,Bonus,121.51,,2072/11/04,
Pacific Development Bank Ltd,Bonus,21.08,,2072/11/04,
Sanima Bank Ltd,Bonus,510.63,,2072/11/04,
Everest Finance Ltd,Bonus,16.89,,2072/11/12,
Nepal Bangaladesh Bank Ltd,Bonus,607.84,,2072/11/12,
Sworojgar Laghubitta Bikas Bank Ltd,Bonus,13.68,,2072/11/20,
Goodwill Finance Ltd (Bittiya Sanstha),Bonus,33.07,,2072/11/20,
Janaki Finance Co.Ltd (Bittiya Sanstha),Bonus,62.16,,2072/11/20,
Global IME Bank Ltd,Bonus,1152.67,,2072/11/20,
Kanchan Development Bank Ltd,Bonus,33,,2072/11/20,
Everest Bank Ltd,Bonus,605.22,,2072/11/27,
Nepal Express Finance Ltd,Bonus,34.25,,2072/12/02,
NLG Insurance Co.Ltd,Bonus,68.31,,2072/12/07,
Himalayan Bank Ltd,Bonus,1166.45,,2072/12/07,
Sahayogi Bikas Bank Ltd.,Bonus,56.41,,2072/12/08,
Garima Bikas Bank Ltd,Bonus,142.2,,2072/12/08,
Guheswori Merchant Banking & Finance Ltd,Bonus,38.34,,2072/12/07,
Swabalamban Laghubitta Bikas Bank Ltd,Bonus,92.57,,2072/12/07,
Chilime Jalbidhut Co.Ltd,Bonus,408.84,,2072/12/10,
Prime Commercial Bank Ltd,Bonus,565.21,,2072/12/11,
NIC Asia Bank Ltd,Bonus,1036.73,,2072/12/10,
Manaslu Bikas Bank Ltd,Bonus,21.83,,2072/12/14,
Manjushree Financial Institution Ltd,Bonus,25.65,,2072/12/16,
Bagmati Development bank Ltd,Bonus,7.5,,2072/12/16,
Mahalaxmi Finance Ltd,Bonus,63,,2072/12/16,
Kamana Bikas Bank Ltd,Bonus,111.2,,2072/12/17,
Tourism Development Bank Ltd,Bonus,108.54,,2072/12/17,
Sahara Bikas Bank Ltd,Bonus,3.6,,2072/12/17,
Ace Development Bank Ltd.,Bonus,115.09,,2073/01/07,
Civil Bank Ltd,Bonus,194.93,,2073/01/08,
Mount Makalu Development Bank Ltd,Bonus,6,,2073/01/09,
Paschimanchal Development Bank Ltd,Bonus,33.67,,2073/01/09,
Deprosc Laghubitta Bikas Bank Ltd,Bonus,85.97,,2073/01/09,
Sewa Bikas Bank Ltd,Bonus,64.92,,2073/01/12,
Womi Microfinance Ltd,Bonus,6,,2073/01/12,
Siddhartha Bank Ltd,Bonus,406.24,,2073/01/12,
Prabhu Insurance Ltd,Bonus,35.26,,2073/01/14,
Shree Investment and Finance Co.Ltd,Bonus,22.88,,2073/01/14,
NMB Bank Ltd,Bonus,332.36,,2073/01/15,
Pokhara Finance Ltd,Bonus,160.4,,2073/01/16,
International Development Bank Ltd.,Bonus,66.88,,2073/01/16,
Mithila Laghubitta Bikas Bank,Bonus,5.66,,2073/01/16,
Solti Hotel Ltd,Bonus,105.31,,2073/01/16,
Jebil's Finance Ltd.,Bonus,36.85,,2073/01/17,
Miteri Development Bank Ltd,Bonus,48.76,,2073/01/20,
Reliable Microfinance (Bittiya Sanstha) Ltd,Bonus,6.5,,2073/01/20,
Neco Insurance Ltd,Bonus,42.27,,2073/01/22,
Mega Bank Nepal Ltd,Bonus,260.96,,2073/01/23,
Nepal SBI Bank Ltd,Bonus,825.55,,2073/01/23,
United Finance Ltd,Bonus,60.44,,2073/01/26,
Summit Micro Finance Development Bank Ltd.,Bonus,14.72,,2073/01/26,
Century Commercial Bank Ltd.,Bonus,190.8,,2073/01/26,
Nepal Credit & Commerce Bank Ltd.,Bonus,324.58,,2073/01/26,
Nerude Laghubitta Bikas Bank Ltd,Bonus,55,,2073/01/26,
Sunrise Bank Ltd,Bonus,528.97,,2073/01/30,
Metro Development Bank Ltd,Bonus,35.28,,2073/02/05,
Sanakisan Bikas Bank Ltd,Bonus,57.67,,2073/02/05,
Laxmi Laghu Bittiya Sanstha Ltd,Bonus,10,,2073/02/10,
Ekata Bikas Bank Ltd,Bonus,27.74,,2073/02/16,
Triveni Bikas Bank Ltd,Bonus,79.93,,2073/02/16,
Oriental Hotels Ltd.,Bonus,109.96,,2073/02/16,
Hama Merchant Bank Ltd,Bonus,21,,2073/02/16,
Siddhartha Development Bank,Bonus,70.95,,2073/02/16,
Infrastructure Development Bank,Bonus,113.37,,2073/02/16,
Kankai Bikas Bank Ltd,Bonus,25,,2073/02/16,
Muktinath Bikas Bank Ltd,Bonus,198.41,,2073/02/17,
NMB Microfinance Bittiya Sanstha Ltd,Bonus,6,,2073/02/19,
Lumbini Gereral Insurance Co. Ltd,Bonus,38.13,,2073/02/19,
Shikhar Insurance Co.Ltd,Bonus,101.11,,2073/02/20,
Siddhartha Insurance Ltd,Bonus,68.97,,2073/02/20,
Jyoti Bikas Bank Ltd.,Bonus,76.25,,2073/02/26,
Rural Microfinance Development Center Ltd,Bonus,57.2,,2073/02/26,
Kumari Bank Ltd,Bonus,267.21,,2073/02/26,
Western Development Bank Ltd.,Bonus,26.16,,2073/03/01,
Premier Insurance Co. Nepal Ltd.,Bonus,86.25,,2073/03/01,
Nepal Insurance Co.Ltd,Bonus,23.81,,2073/03/01,
Araniko Development Bank Ltd.,Bonus,23.44,,2073/03/07,
Central Finance Ltd,Bonus,61.38,,2073/03/08,
Deva Bikas Bank Ltd,Bonus,62.99,,2073/03/14,
Gandaki Bikash Bank Ltd,Bonus,80.96,,2073/03/14,
Bank of Kathamandu,Bonus,551.26,,2073/03/17,
Lumbini Bank Ltd,Bonus,300.13,,2073/03/20,
Fewa Bikash Bank Ltd.,Bonus,178.78,,2073/03/20,
Purnima Bikas Bank Ltd.,Bonus,38.08,,2073/03/26,
Seti Finance Ltd.,Bonus,7.79,,2073/03/26,
Birat Laxmi Bikash Bank Ltd.,Bonus,85.07,,2073/03/26,
Subhechha Bikash Bank Ltd.,Bonus,26.97,,2073/03/29,
Excel Development Bank Ltd.,Bonus,52.65,,2073/03/29,
Innovative Development Bank Ltd.,Bonus,40.5,,2073/03/29,
Life Insurance Corporation (Nepal) Ltd.,Bonus,213.89,,2073/03/30,
Global IME Capital Ltd,Unit,1000,,2072/10/13,
,,,,,
United Modi Hydropower Ltd. (For Local People),Ordinary,115,,2073/05/01,
Arun Kabeli Power Ltd. (For General Public),Ordinary,300,,2073/06/16,
Nepal Hydro Developer Ltd. (For Local People),Ordinary,26,,2073/07/02,
Synergy Power Development Ltd. (For General Public),Ordinary,210,,2073/08/23,
Himalayan Power Partner Ltd. (For Local People),Ordinary,107,,2073/08/24,
Chhyangdi Hydropower Ltd. (For Local People),Ordinary,27,,2073/08/24,
Nepal SBI Bank Ltd. (Further Public Offering),Ordinary,66,,2073/08/24,
Samata Microfinance Bittiya Sanstha Ltd.,Ordinary,9,,2073/08/27,
Nepal Life Insurance Co. Ltd. (Further Public Offering),Ordinary,"4,412",,2073/09/14,
Forward Community Micro Finance Bittiya Sanstha Ltd.,Ordinary,60,,2073/09/19,
United Modi Hydropower Ltd. (For General Public),Ordinary,173,,2073/10/19,
Standard Chartered Bank Nepal Ltd. (Further Public Offering),Ordinary,"3,300",,2073/11/02,
Radhi Bidyut Co. Ltd. (For Local People),Ordinary,41,,2073/12/03,
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,Ordinary,12,,2073/12/04,
Swadeshi Laghubitta Bittiya Sanstha Ltd.,Ordinary,30,,2073/12/07,
Chhyangdi Hydropower Ltd. (For General Public),Ordinary,54,,2074/01/11,
Mailung Khola Jal Vidhyut Co. Ltd. (For Local People),Ordinary,37,,2074/01/24,
Rairang Hydropower Development Company Ltd. (For Local People),Ordinary,56,,2074/01/24,
Himalayan Power Partner Ltd. (For General Public),Ordinary,213,,2074/02/16,
Pokhara Finance Ltd. (Further Public Offering),Ordinary,216,,2074/03/15,
Nepal Hydro Developer Ltd. (For General Public),Ordinary,39,,2074/03/23,
Prime Commercial Bank Ltd.,Rights,"1,235.09",,2073/04/02,
Century Commercial Bank Ltd.,Rights,852.24,,2073/04/03,
Mount Makalu Development Bank Ltd.,Rights,39,,2073/04/05,
Guheshwori Merchant Banking & Finance Ltd.,Rights,146.87,,2073/04/31,
Sahara Bikas Bank Ltd.,Rights,35.4,,2073/04/32,
Laxmi Laghubitta Bittiya Sanstha Ltd.,Rights,110,,2073/05/13,
Araniko Development Bank Ltd.,Rights,92.82,,2073/05/15,
Muktinath Bikas Bank Ltd.,Rights,419.22,,2073/05/15,
Miteri Development Bank Ltd.,Rights,105.64,,2073/05/15,
Triveni Bikas Bank Ltd.,Rights,410.01,,2073/05/23,
Siddhartha Bank Ltd.,Rights,755.52,,2073/06/02,
Agricultural Development Bank Ltd.,Rights,"1,968.80",,2073/06/02,
Seti Finance Ltd.,Rights,95.18,,2073/06/02,
Sewa Bikas Bank Ltd.,Rights,510.67,,2073/06/06,
Western Development Bank Ltd.,Rights,156.96,,2073/06/07,
Nagbeli Lagubitta Bikas Bank Ltd.,Rights,12.5,,2073/06/11,
NMB Microfinance Ltd.,Rights,55.2,,2073/06/11,
Himalayan Bank Ltd.,Rights,642.74,,2073/06/12,
Janata Bank Nepal Ltd.,Rights,"1,030.00",,2073/06/19,
Kasthamandap Development Bank Ltd.,Rights,169.97,,2073/06/21,
Machhapuchchhre Bank Ltd.,Rights,"1,932.27",,2073/06/21,
Manjushree Finance Ltd.,Rights,438.64,,2073/07/22,
Namaste Bittiya Sanstha Ltd.,Rights,37.5,,2073/07/24,
Sagarmatha Finance Ltd.,Rights,295.44,,2073/07/24,
Saptakoshi Development Bank Ltd.,Rights,100,,2073/07/29,
Kanchan Development Bank Ltd.,Rights,99,,2073/08/03,
Deva Bikas Bank Ltd.,Rights,440.54,,2073/08/11,
Neco Insurance Ltd.,Rights,324.04,,2073/09/06,
Kailash Bikas Bank Ltd.,Rights,316.07,,2073/09/07,
Bhargav Bikash Bank Ltd.,Rights,120,,2073/09/27,
Deprosc Laghubitta Bikas Bank Ltd.,Rights,257.92,,2073/10/09,
Nerude Laghubitta Bikas Bank Ltd.,Rights,90,,2073/10/19,
Kumari Bank Ltd.,Rights,"1,349.58",,2073/11/01,
Mission Development Bank Ltd.,Rights,194.93,,2073/11/08,
Prabhu Insurance Ltd.,Rights,192.51,,2073/11/12,
Citizen Bank International Ltd.,Rights,"1,384.34",,2073/11/12,
Tourism Development Bank Ltd.,Rights,919.77,,2073/11/15,
Nepal Bangladesh Bank Ltd.,Rights,"3,209.41",,2073/11/17,
NIC Asia Bank Ltd.,Rights,872.95,,2073/11/24,
Sanima Bank Ltd.,Rights,"1,591.76",,2073/11/30,
Laxmi Bank Ltd.,Rights,"3,159.03",,2073/12/01,
Nepal Bank Ltd.,Rights,"1,543.18",,2073/12/15,
First Microfinance Ltd.,Rights,132.25,,2073/12/17,
Hamro Bikas Bank Ltd.,Rights,305.83,,2073/12/17,
Siddhartha Development Bank Ltd.,Rights,851.5,,2073/12/17,
Garima Bikas Bank Ltd.,Rights,907.63,,2073/12/21,
Gurkhas Finance Ltd.,Rights,289.33,,2073/12/22,
Tinau Development Bank Ltd.,Rights,119.48,,2073/12/28,
Sahayogi Vikas Bank Ltd.,Rights,110.11,,2074/01/05,
Jyoti Bikas Bank Ltd.,Rights,"1,104.32",,2074/01/05,
Mirmire Microfinance Development Bank Ltd.,Rights,15,,2074/01/06,
Siddhartha Insurance Ltd.,Rights,86.21,,2074/01/07,
Nepal SBI Bank Ltd.,Rights,"1,991.94",,2074/01/11,
Lalitpur Finance Ltd.,Rights,187.95,,2074/01/11,
NB Insurance Company Ltd.,Rights,270,,2074/01/14,
Sunrise Bank Ltd.,Rights,"1,635.96",,2074/01/15,
Everest Bank Ltd.,Rights,"1,508.81",,2074/01/20,
Goodwill Finance Ltd.,Rights,272.25,,2074/01/21,
Purnima Bikas Bank Ltd.,Rights,88.1,,2074/02/04,
Swarojgar Laghubitta Bikas Bank Ltd.,Rights,35,,2074/02/04,
Siddhartha Bank Ltd.,Rights,"1,575.26",,2074/02/07,
Kanchan Development Bank Ltd.,Rights,103.95,,2074/02/07,
Machhapuchchhre Bank Ltd.,Rights,791.84,,2074/02/07,
Alpine Development Bank Ltd.,Rights,180.32,,2074/02/07,
Kankai Bikas Bank Ltd.,Rights,321,,2074/02/14,
Kamana Bikas Bank Ltd.,Rights,241.31,,2074/02/18,
United Finance Ltd.,Rights,134.54,,2074/02/21,
Himalayan General Insurance Co. Ltd.,Rights,642,,2074/02/30,
Saptakoshi Development Bank Ltd.,Rights,274.3,,2074/02/31,
Reliable Microfinance Bittiya Sanstha Ltd.,Rights,28.25,,2074/03/01,
Lumbini General Insurance Ltd.,Rights,390,,2074/03/01,
Sanima Mai Hydropower Ltd.,Rights,"1,055.00",,2074/03/15,
Kabeli Bikas Bank Ltd.,Rights,35.09,,2074/03/18,
Sindhu Bikash Bank Ltd.,Rights,209.75,,2074/03/21,
Century Commercial Bank Ltd.,Rights,"1,885.43",,2074/03/26,
Arun Finance Ltd.,Rights,150,,2074/03/27,
Agriculture Development Bank Ltd.,Bonus,513.6,,2073/04/06,
Machhapuchchhre Bank Ltd.,Bonus,533.04,,2073/04/11,
Citizen Investment Trust,Bonus,157.5,,2073/04/12,
Gurans Life Insurance Ltd.,Bonus,50,,2073/04/17,
Kakre Bihar Bikas Bank Ltd.,Bonus,5.69,,2073/04/20,
Salt Trading Corporation Ltd.,Bonus,10.71,,2073/04/20,
Sagarmatha Finance Ltd.,Bonus,50.53,,2073/04/24,
Himalayan General Insurance Co. Ltd.,Bonus,53.5,,2073/04/27,
Namaste Bittiya Sanstha Ltd.,Bonus,6.25,,2073/04/27,
ICFC Finance Ltd.,Bonus,44.83,,2073/05/06,
Prudential Insurance Co. Ltd.,Bonus,32.4,,2073/05/06,
Kalinchowk Development Bank Ltd.,Bonus,6,,2073/05/07,
Mission Development Bank Ltd.,Bonus,22.43,,2073/05/07,
Karnali Development Bank Ltd.,Bonus,20,,2073/05/13,
Nepal Life Insurance Co. Ltd.,Bonus,433.5,,2073/05/15,
Professional Diyalo Bikas Bank Ltd.,Bonus,20.35,,2073/05/15,
Lumbini Finance and Leasing Co. Ltd.,Bonus,73.52,,2073/05/15,
Nepal Community Development Bank Ltd.,Bonus,9.5,,2073/05/29,
Reliance Lotus Finance Co. Ltd.,Bonus,74.29,,2073/05/29,
Standard Chartered Bank Ltd.,Bonus,564.26,,2073/06/04,
Raptibheri Bikas Bank Ltd.,Bonus,18.75,,2073/06/04,
Reliable Development Bank Ltd.,Bonus,71.69,,2073/06/05,
Shangrila Development Bank Ltd.,Bonus,153.46,,2073/06/10,
Supreme Development Bank Ltd.,Bonus,121.74,,2073/06/11,
Hamro Bikas Bank Ltd.,Bonus,15.96,,2073/06/17,
Bhargav Bikas Bank Ltd.,Bonus,20,,2073/06/28,
Mahakali Bikas Bank Ltd.,Bonus,21.62,,2073/07/02,
Bagmati Development Bank Ltd.,Bonus,8.05,,2073/07/11,
Bhaktapur Finance Ltd.,Bonus,11,,2073/07/12,
Matribhumi Bikas Bank Ltd.,Bonus,7.26,,2073/07/22,
Api Power Company Ltd.,Bonus,50,,2073/07/22,
Prabhu Insurance Ltd.,Bonus,55.94,,2073/07/30,
First Microfinance Development Bank Ltd.,Bonus,34.5,,2073/07/30,
Oriental Hotels Ltd.,Bonus,131.95,,2073/08/05,
Unique Finance Ltd.,Bonus,38.18,,2073/09/03,
Goodwill Finance Ltd.,Bonus,90.75,,2073/09/03,
ICFC Finance Ltd.,Bonus,116.5,,2073/09/03,
Nepal Bangladesh Bank Ltd.,Bonus,972.55,,2073/09/03,
Alpine Development Bank Ltd.,Bonus,27.14,,2073/09/03,
Citizen Bank International Ltd.,Bonus,750.68,,2073/09/03,
Kabeli Bikash Bank Ltd.,Bonus,11.7,,2073/09/03,
Arun Valley Hydropower Ltd.,Bonus,77.61,,2073/09/08,
Nepal Investment Bank Ltd.,Bonus,"1,491.40",,2073/09/08,
NIC Asia Bank Ltd.,Bonus,"1,200.88",,2073/09/08,
Nabil Bank Ltd.,Bonus,"1,428.94",,2073/09/11,
Country Development Bank Ltd.,Bonus,24.13,,2073/09/11,
Nirdhan Utthan Bank Ltd.,Bonus,99.98,,2073/09/18,
Sagarmatha Insurance Co. Ltd.,Bonus,84.68,,2073/09/18,
Everest Finance Ltd.,Bonus,19.94,,2073/09/19,
Sanima Bank Ltd.,Bonus,688.56,,2073/09/24,
United Finance Ltd.,Bonus,92.71,,2073/09/25,
Siddhartha Development Bank Ltd.,Bonus,274.68,,2073/09/29,
Tinau Development Bank Ltd.,Bonus,68.27,,2073/10/02,
Sunrise Bank Ltd.,Bonus,"1,325.35",,2073/10/03,
Karnali Development Bank Ltd.,Bonus,11,,2073/10/11,
Sindhu Bikash Bank Ltd.,Bonus,20.32,,2073/10/11,
Ridi Hydropower Development Company Ltd.,Bonus,27.1,,2073/10/11,
Sahayogi Vikas Bank Ltd.,Bonus,56.73,,2073/10/11,
Pokhara Finance Ltd.,Bonus,66.3,,2073/10/17,
Swarojgar Laghubitta Bikas Bank Ltd.,Bonus,16.32,,2073/10/17,
Pacific Development Bank Ltd.,Bonus,24.07,,2073/10/19,
Hama Merchant and Finance Ltd.,Bonus,26.52,,2073/10/19,
NMB Microfinance,Bonus,11.5,,2073/10/19,
Standard Chartered Bank Ltd.,Bonus,937.48,,2073/10/19,
Gandaki Bikas Bank Ltd.,Bonus,105.4,,2073/10/19,
Himalayan General Insurance Co. Ltd.,Bonus,64.2,,2073/10/19,
Kankai Bikas Bank Ltd.,Bonus,25,,2073/10/20,
Miteri Development Bank Ltd.,Bonus,63.38,,2073/10/20,
National Life Company Ltd.,Bonus,305.74,,2073/10/24,
Ace Development Bank Ltd.,Bonus,203.17,,2073/10/24,
Siddhartha Insurance Ltd.,Bonus,103.46,,2073/10/25,
Mirmire Microfinance Development Bank Ltd.,Bonus,10,,2073/10/25,
Soaltee Hotel Ltd.,Bonus,52.66,,2073/10/26,
Sahara Bikash Bank Ltd.,Bonus,8.26,,2073/11/01,
Lumbini General Insurance Co. Ltd.,Bonus,60,,2073/11/01,
Shikhar Insurance Ltd.,Bonus,307.77,,2073/11/01,
Machhapuchchhre Bank Ltd.,Bonus,801.89,,2073/11/01,
Muktinath Bikas Bank Ltd.,Bonus,285.07,,2073/11/08,
United Insurance Co. (Nepal) Ltd.,Bonus,50.4,,2073/11/08,
Chhimek Laghubitta Bikas Bank Ltd.,Bonus,238.32,,2073/11/08,
Shree Investment and Finance Co. Ltd.,Bonus,23.1,,2073/11/08,
Premier Insurance Co(Nepal) Ltd.,Bonus,74.75,,2073/11/11,
Srijana Finance Ltd.,Bonus,100.8,,2073/11/11,
Country Development Bank Ltd.,Bonus,30.16,,2073/11/15,
Triveni Bikas Bank Ltd.,Bonus,155.8,,2073/11/15,
Chilime Hydropower Co. Ltd.,Bonus,313.45,,2073/11/17,
Araniko Development Bank Ltd.,Bonus,43.83,,2073/11/17,
Hamro Bikas Bank Ltd.,Bonus,30.58,,2073/11/17,
Janaki Finance Ltd. (Bittiya Sanstha),Bonus,31.08,,2073/11/23,
Fewa Bikas Bank Ltd.,Bonus,204.97,,2073/11/23,
Kanchan Development Bank Ltd.,Bonus,49.5,,2073/11/23,
Paschimanchal Finance Ltd.,Bonus,45.53,,2073/11/30,
Sagarmatha Insurance Co. Ltd.,Bonus,97.07,,2073/11/30,
Bhaktapur Finance Ltd.,Bonus,7.39,,2073/11/30,
Namaste Bittiya Sanstha Ltd.,Bonus,9,,2073/11/30,
Jyoti Bikas Bank Ltd.,Bonus,117.29,,2073/12/03,
NLG Insurance Company Ltd.,Bonus,102.47,,2073/12/03,
Manjushree Finance Ltd.,Bonus,35.09,,2073/12/03,
Garima Bikas Bank Ltd.,Bonus,216.1,,2073/12/07,
Deva Bikas Bank Ltd.,Bonus,123.35,,2073/12/07,
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,Bonus,11,,2073/12/07,
Biratlaxmi Bikas Bank Ltd.,Bonus,78.69,,2073/12/09,
Vijaya Laghubitta Bittiya Sanstha Ltd.,Bonus,21,,2073/12/09,
Butwal Power Co. Ltd.,Bonus,118.46,,2073/12/09,
Cosmos Development Bank Ltd.,Bonus,11.87,,2073/12/09,
Womi Microfinance Bittiya Sanstha Ltd.,Bonus,10.8,,2073/12/15,
Mero Microfinance Bittiya Sanstha Ltd.,Bonus,20,,2073/12/15,
Saptakoshi Development Bank Ltd.,Bonus,11,,2073/12/15,
NMB Bank Ltd.,Bonus,"1,031.71",,2073/12/15,
Manaslu Bikas Bank Ltd.,Bonus,33.04,,2073/12/15,
Nepal SBI Bank Ltd.,Bonus,"1,088.93",,2073/12/15,
Alpine Development Bank Ltd.,Bonus,32.94,,2073/12/16,
Kailash Bikas Bank Ltd.,Bonus,395.08,,2073/12/16,
Siddhartha Bank Ltd.,Bonus,"1,473.26",,2073/12/16,
Swabalamban Laghubitta Bikas Bank Ltd.,Bonus,106.7,,2073/12/16,
Janata Bank Ltd.,Bonus,247.2,,2073/12/16,
Summit Micro Finance Development Bank Ltd.,Bonus,22.5,,2073/12/16,
Sahara Bikash Bank Ltd.,Bonus,5.73,,2073/12/21,
Guheshwori Merchant Banking & Finance Ltd.,Bonus,52.87,,2073/12/21,
Sana Kisan Bikas Bank Ltd.,Bonus,100.61,,2073/12/21,
Purnima Bikas Bank Ltd.,Bonus,49.82,,2073/12/21,
Nepal SBI Bank Ltd.,Bonus,1.81,,2073/12/24,
Om Development Bank Ltd.,Bonus,307.43,,2073/12/28,
Central Finance Ltd.,Bonus,55.52,,2073/12/28,
Neco Insurance Ltd.,Bonus,64.81,,2073/12/28,
Shine Resunga Development Bank Ltd.,Bonus,234.47,,2073/12/28,
Lumbini Finance and Leasing Co. Ltd.,Bonus,144.38,,2073/12/28,
Sewa Bikas Bank Ltd.,Bonus,80.86,,2074/01/05,
Kakre Bihar Bikas Bank Ltd.,Bonus,11.57,,2074/01/05,
Kisan Micro Finance Bittiya Sanstha Ltd.,Bonus,12.2,,2074/01/05,
Jebil's Finance Ltd.,Bonus,32.11,,2074/01/11,
United Finance Ltd.,Bonus,0.32,,2074/01/11,
Everest Bank Ltd.,Bonus,"1,863.82",,2074/01/11,
Mega Bank Nepal Ltd.,Bonus,531.59,,2074/01/19,
Kamana Bikas Bank Ltd.,Bonus,142.77,,2074/01/19,
Prime Commercial Bank Ltd.,Bonus,852.21,,2074/01/19,
Biratlaxmi Bikas Bank Ltd.,Bonus,6.45,,2074/01/25,
Kasthamandap Development Bank Ltd.,Bonus,158.89,,2074/01/25,
Rural Microfinance Development Centre Ltd.,Bonus,62.92,,2074/01/25,
Kumari Bank Ltd.,Bonus,568.04,,2074/01/28,
Himalayan Bank Ltd.,Bonus,"1,349.74",,2074/01/28,
Asian Life Insurance Co. Ltd.,Bonus,134.27,,2074/01/28,
Civil Laghubitta Bittiya Sanstha Ltd.,Bonus,5,,2074/02/03,
Mahakali Bikas Bank Ltd.,Bonus,13.77,,2074/02/03,
Bank of Kathmandu,Bonus,"1,052.69",,2074/02/09,
Mount Makalu Development Bank Ltd.,Bonus,4.16,,2074/02/09,
Reliance Finance Ltd.,Bonus,66.86,,2074/02/14,
Innovative Development Bank Ltd.,Bonus,63.18,,2074/02/17,
Agriculture Development Bank Ltd.,Bonus,"1,181.28",,2074/02/21,
Deprosc Laghubitta Bikas Bank Ltd.,Bonus,90.27,,2074/02/21,
Sagarmatha Finance Ltd.,Bonus,121.65,,2074/02/21,
Century Commercial Bank Ltd.,Bonus,368.9,,2074/02/26,
Global IME Bank Ltd.,Bonus,986.28,,2074/02/26,
Excel Development Bank Ltd.,Bonus,76.91,,2074/02/30,
Nerude Laghubitta Bikash Bank Ltd.,Bonus,36,,2074/03/04,
Prudential Insurance Co. Ltd.,Bonus,71.28,,2074/03/04,
RSDC Laghubitta Bittiya Sanstha Ltd.,Bonus,15,,2074/03/04,
Nepal Life Insurance Co. Ltd.,Bonus,619.29,,2074/03/04,
Mahalaxmi Bikash Bank Ltd.,Bonus,91.34,,2074/03/13,
Nagbeli Laghubitta Bikas Bank Ltd.,Bonus,15,,2074/03/13,
Surya Life Insurance LTd.,Bonus,31.25,,2074/03/18,
Reliable Development Bank Ltd.,Bonus,221.89,,2074/03/20,
Nepal Community Development Bank Ltd.,Bonus,10.79,,2074/03/20,
Civil Bank Ltd.,Bonus,132.01,,2074/03/26,
Nabil Equity Fund,Unit,"1,250",,2073/05/14,
NMB HYBRID Fund L-1,Unit,"1,000",,2073/05/14,
NIBL Pragati Fund,Unit,750,,2073/07/24,
Laxmi Equity Fund,Unit,"1,250",,2074/01/03,
,,,,,
Support Microfinance Bittiya Sanstha Ltd.,Ordinary,18,,2074/04/20,
"Radhi Bidyut Company Ltd. 
 (For General Public)
 including Unsubscribed 1,49,550 Shares",Ordinary,76,,2074/07/07,
"Panchakanya Mai Hydropower Ltd. 
 (For Local People)",Ordinary,110,,2074/08/05,
"Sanjen Jalavidhyut Co. Ltd. 
 For   
 1) Employees of Promoter Shareholding Company 
 2) Employees having membership of Employee Provident Fund 
 3) Employees of Lending Institution",Ordinary,876,,2074/08/26,
Unnati Microfinance Bittiya Sanstha Ltd.,Ordinary,17,,2074/08/29,
Samudayik Laghubitta Bittiya Sanstha Ltd.,Ordinary,30,,2074/09/11,
"Rasuwagadhi Hydropower Co. Ltd.
 For  
 1) Employees of Promoter Shareholding Company
 2) Employees having membership of Employee Provident Fund 
 3) Employees of Lending Institution",Ordinary,"1,642",,2074/09/20,
Aarambha Microfinance Bittiya Sanstha Ltd.,Ordinary,29,,2074/09/20,
"Kalika Power Company Ltd. 
 (For Local People)",Ordinary,60,,2074/09/21,
Nepal Seva Laghubitta Bittiya Sanstha Ltd.,Ordinary,18,,2074/12/20,
